Month,Avg. Temp,Min. Temp,Max. Temp,Precip.
"August, 2015",70.3,56.7,83.9,0.06
"July, 2015",68.7,56.8,80.6,0.06
"June, 2015",64.4,52.1,76.8,0.06
"May, 2015",57.5,48.2,66.8,0.29
"April, 2015",56.1,43.6,68.6,1.85
"March, 2015",58.6,44.2,73,0.52
"February, 2015",56.3,44.9,67.7,3.65
"January, 2015",54.3,41,67.7,0
"December, 2014",53,46.5,59.5,14.98
"November, 2014",56.3,45.8,66.9,3.91
"October, 2014",64.6,51.5,77.6,0.83
"September, 2014",66.7,55.3,78.1,0.75
"August, 2014",67.6,56.6,78.6,0.01
"July, 2014",67.4,55.6,79.2,0.08
"June, 2014",63,49.8,76.3,0.01
"May, 2014",62.2,48,76.3,0.05
"April, 2014",57.3,45.1,69.6,1.66
"March, 2014",56.4,44.9,67.8,3.71
"February, 2014",52.5,43.2,61.7,7.44
"January, 2014",55,40.8,69.3,0.08
"December, 2013",49.6,35.4,63.7,0.61
"November, 2013",55.3,42.6,68,0.89
"October, 2013",59.5,46,73,0.11
"September, 2013",65.7,52.9,78.6,0.3
"August, 2013",66.8,54.5,79.1,0.01
"July, 2013",65.8,54.4,77.2,0.03
"June, 2013",63.9,50.9,76.9,0.09
"May, 2013",60.1,47.4,72.8,0.03
"April, 2013",57.2,44.7,69.7,0.94
"March, 2013",54.8,42.3,67.3,1.49
"February, 2013",48.7,36.3,61.2,0.56
"January, 2013",48.4,36.4,60.3,1.01
"December, 2012",49.3,41.1,57.5,11.15
"November, 2012",56.6,45.9,67.2,6.55
"October, 2012",62.2,50.6,73.8,0.83
"September, 2012",63.4,50.4,76.5,0.01
"August, 2012",65.8,52.2,79.4,0.01
"July, 2012",64,52.8,75.1,0.06
"June, 2012",61.7,48.5,74.8,0.3
"May, 2012",58.4,45.9,70.9,0.06
"April, 2012",55.3,44.5,66.2,3.86
"March, 2012",51.2,40.9,61.4,7.54
"February, 2012",50.4,39.1,61.8,1.54
"January, 2012",50.4,37.5,63.2,4.11
"December, 2011",47.8,35.7,59.8,0.2
"November, 2011",51.9,41.7,62.1,2.7
"October, 2011",62.5,51.5,73.4,2.43
"September, 2011",64.8,53.2,76.4,0
"August, 2011",63.6,53.1,74.2,0.01
"July, 2011",64.5,53.3,75.7,0.01
"June, 2011",59.9,49.6,70.2,1.01
"May, 2011",55.6,44.4,66.7,1.62
"April, 2011",53.4,42.3,64.6,0.67
"March, 2011",51.8,42.9,60.6,10.34
"February, 2011",47.7,37.4,58,7.1
"January, 2011",50.8,40,61.5,2.37
"December, 2010",50.4,43.2,57.4,10.16
"November, 2010",52.4,41.7,63.1,4.09
"October, 2010",60.1,50,70.1,2.14
"September, 2010",65.3,51.8,78.8,0.01
"August, 2010",63.2,52,74.3,0.04
"July, 2010",62.6,52.5,72.8,0.02
"June, 2010",61.8,49.9,73.7,0.01
"May, 2010",55.7,44.4,66.9,0.9
"April, 2010",51.7,41.6,61.9,5.4
"March, 2010",51.5,40,62.9,3.44
"February, 2010",51.1,43.2,59,6.14
"January, 2010",50.7,42.6,58.9,9.91
"December, 2009",47.9,39.2,56.5,4.38
"November, 2009",53.2,40.9,65.6,0.31
"October, 2009",59.6,48.9,70.3,5.85
"September, 2009",66.4,53,79.8,0.21
"August, 2009",66,53.6,78.4,0.02
"July, 2009",64.4,52.2,76.6,0.01
"June, 2009",61.3,50.9,71.7,0.06
"May, 2009",58.8,48.4,69.1,1.05
"April, 2009",53.9,42.3,65.5,0.51
"March, 2009",51.2,40.9,61.5,3.46
"February, 2009",49.6,41.5,57.6,10.77
"January, 2009",51.8,39.8,63.9,1.7
"December, 2008",47.1,37.2,57,3.9
"November, 2008",56.5,46.4,66.5,3.09
"October, 2008",62,47.8,76.2,0.84
"September, 2008",64.8,51.9,77.8,0.01
"August, 2008",65.3,53.2,77.5,0.01
"July, 2008",64.9,53.1,76.7,0.01
"June, 2008",62.4,48.7,76.1,0
"May, 2008",57.4,45.5,69.3,0
"April, 2008",53.3,40.2,66.3,0.4
"March, 2008",51.6,39.2,64,0.36
"February, 2008",49.4,39.4,59.4,5.3
"January, 2008",46.8,38.8,54.8,13.39
"December, 2007",46.6,37.1,56,3.8
"November, 2007",54.6,42.8,66.4,0.65
"October, 2007",58.7,47.2,70.2,1.67
"September, 2007",63.5,51.6,75.5,0.43
"August, 2007",65.6,53.1,78.2,0.01
"July, 2007",65.2,53.4,77.1,0.02
"June, 2007",61.3,48.2,74.4,0.01
"May, 2007",57.5,46.2,68.9,0.37
"April, 2007",54,42.7,65.3,1.6
"March, 2007",54.3,42.1,66.5,0.45
"February, 2007",50,41.6,58.4,6.96
"January, 2007",46.4,34.7,58,1.18
"December, 2006",49,39,59.1,5.1
"November, 2006",53.9,43.8,63.9,2.47
"October, 2006",59.4,47.7,71,0.45
"September, 2006",62.8,51.3,74.2,0
"August, 2006",63.9,53.4,74.3,0
"July, 2006",67.7,54.2,81.2,0
"June, 2006",63.4,51.9,75,0.01
"May, 2006",58.8,48.1,69.5,0.76
"April, 2006",52.9,45.6,60.1,7.97
"March, 2006",47.7,40.2,55.3,11.77
"February, 2006",51,39.5,62.6,3.2
"January, 2006",49.4,40.7,58.1,5.95
"December, 2005",51.3,43.6,58.9,14.76
"November, 2005",55.5,43.9,67.2,1.92
"October, 2005",59.4,47.5,71.2,0.23
"September, 2005",61.8,50.4,73.2,0.06
"August, 2005",64.6,53,76.1,0.01
"July, 2005",65.4,54.1,76.7,0.03
"June, 2005",60.6,50,71.2,0.89
"May, 2005",59,48.9,69.1,1.55
"April, 2005",53.2,42.3,64.2,2.9
"March, 2005",54.2,44.7,63.8,7.36
"February, 2005",52.3,44.5,60.2,6.06
"January, 2005",49.5,40.8,58.2,7.27
"December, 2004",50.2,40.7,59.7,10.25
"November, 2004",52.1,42.6,61.6,2.34
"October, 2004",58.8,48.7,68.8,5.5
"September, 2004",65.9,51.9,79.8,0.09
"August, 2004",66.1,54.9,77.2,0.01
"July, 2004",64.8,54.3,75.3,0.04
"June, 2004",61.4,49.8,73.1,0.01
"May, 2004",59,47,71.1,0.08
"April, 2004",56.2,44.6,67.8,0.48
"March, 2004",57.5,44.8,70.3,1.15
"February, 2004",49.2,41,57.3,7.61
"January, 2004",48.5,40.1,56.9,3.91
"December, 2003",49.8,42.6,57.1,11.46
"November, 2003",51.3,41.9,60.7,3.46
"October, 2003",62.7,49.2,76.3,0.32
"September, 2003",66.5,54.3,78.8,0.02
"August, 2003",66.9,55.2,78.6,0.04
"July, 2003",65.6,52.5,78.7,0
"June, 2003",62.1,50.9,73.4,0.05
"May, 2003",58.1,46.8,69.4,1.25
"April, 2003",51.2,42,60.3,5.39
"March, 2003",52.7,41.5,63.9,1.94
"February, 2003",50,40.1,60,2.48
"January, 2003",54.5,45,63.9,1.76
"December, 2002",50.2,42.3,58.1,16.46
"November, 2002",56,44.7,67.3,5.25
"October, 2002",59,48,70,0.01
"September, 2002",64.8,52,77.5,0.01
"August, 2002",64.7,53.2,76.2,0.05
"July, 2002",64.4,52.4,76.3,0.01
"June, 2002",61.3,49,73.7,0.02
"May, 2002",56.4,45.1,67.8,0.98
"April, 2002",53.6,44.4,63,0.48
"March, 2002",50.6,40,61.2,3.6
"February, 2002",51.6,40.6,62.6,2.29
"January, 2002",46.4,36.6,56.1,2.91
"December, 2001",49.3,41.9,56.7,12.19
"November, 2001",54.5,45.5,63.6,6.79
"October, 2001",61,50,72.1,0.66
"September, 2001",63.3,52,74.6,0.16
"August, 2001",64.8,52.3,77.3,0.03
"July, 2001",63.9,53.4,74.4,0.01
"June, 2001",63.6,49.3,78,0.1
"May, 2001",61.9,48.5,75.3,0
"April, 2001",51.2,40.6,61.8,2.4
"March, 2001",53.8,43.9,63.8,3.1
"February, 2001",48.7,40.3,57.1,8.2
"January, 2001",47.5,37.1,57.8,6.55
"December, 2000",51,40.4,61.5,1.03
"November, 2000",49.8,38.8,60.8,1.21
"October, 2000",58.7,49.7,67.7,4.46
"September, 2000",65.2,52.7,77.7,0.34
"August, 2000",64.6,52.4,76.7,0.15
"July, 2000",63.2,51.6,74.8,0.01
"June, 2000",62.7,51.4,73.9,0.27
"May, 2000",59.5,47.7,71.3,1.13
"April, 2000",55.8,44.6,67,2.07
"March, 2000",52.2,41.6,62.8,2.83
"February, 2000",51.4,44.5,58.3,13.77
"January, 2000",49.9,42.6,57.2,12.26
"December, 1999",49.5,37.5,61.6,0.68
"November, 1999",54.2,44.9,63.4,3.73
"October, 1999",61.8,47.8,75.6,0.35
"September, 1999",63.7,52.6,74.7,0.19
"August, 1999",65,53.5,76.4,0.05
"July, 1999",63.6,51.8,75.4,0
"June, 1999",59.1,47.4,70.9,0.22
"May, 1999",54.7,44.2,65.3,0.08
"April, 1999",52.4,41.8,63,2.74
"March, 1999",48.3,39.5,57.1,4.58
"February, 1999",48,38.6,57.4,8.96
"January, 1999",49.2,39.2,59.2,7.55
"December, 1998",45.7,35.1,56.2,2.08
"November, 1998",52.2,43.5,61,5.71
"October, 1998",58.2,45.6,70.8,0.93
"September, 1998",65.2,54.8,75.5,0.13
"August, 1998",66.9,53.7,80.1,0
"July, 1998",65.1,53.8,76.5,0.01
"June, 1998",60.6,52,69.2,0.17
"May, 1998",54.8,46.2,63.3,3.93
"April, 1998",52.8,43,62.6,3.34
"March, 1998",52.4,43.6,61.2,4.73
"February, 1998",49.4,43,55.8,20.32
"January, 1998",51.4,44.7,58.1,14.3
"December, 1997",49,39.1,58.9,4.36
"November, 1997",55.6,46.8,64.4,9.63
"October, 1997",60.4,47.6,73.1,0.78
"September, 1997",68,54.4,81.6,0.01
"August, 1997",67.3,55.3,79.2,0.31
"July, 1997",64.4,53.2,75.7,0
"June, 1997",61.8,49.8,73.8,0.25
"May, 1997",62.6,49.4,75.8,0.25
"April, 1997",56.2,44.5,67.8,0.65
"March, 1997",53.6,41.6,65.6,0.89
"February, 1997",50.8,40.3,61.2,0.31
"January, 1997",50.2,42.8,57.7,13.29
"December, 1996",51.9,44.8,58.9,14.64
"November, 1996",53.9,44.6,63.2,6.41
"October, 1996",59.3,47,71.7,1.98
"September, 1996",63.2,50.8,75.4,0.02
"August, 1996",64.8,52.5,77.1,0
"July, 1996",65.6,53.5,77.7,0
"June, 1996",62.1,49.7,74.5,0.02
"May, 1996",59.8,48.3,71.3,3.1
"April, 1996",57.2,45.2,69.1,2.01
"March, 1996",54.2,43.9,64.5,3.96
"February, 1996",53.7,45.9,61.4,10.63
"January, 1996",51.1,42.1,60,9.67
"December, 1995",51.9,43.9,59.8,9.08
"November, 1995",57.7,46.3,69,0.23
"October, 1995",61.6,49.2,74.1,0.01
"September, 1995",64.8,52.8,76.7,0
"August, 1995",65.6,52.9,78.4,0
"July, 1995",66.8,54.5,79.1,0.01
"June, 1995",61.1,49.8,72.4,0.98
"May, 1995",55.8,47.4,64.3,1.47
"April, 1995",53.3,43.4,63.1,3.97
"March, 1995",51.6,43.1,60.1,12.72
"February, 1995",53.9,45.3,62.4,0.71
"January, 1995",51.4,46.2,56.6,18.87
"December, 1994",46.6,37.6,55.7,3.64
"November, 1994",47.6,38,57.1,6.6
"October, 1994",59,46.7,71.2,0.83
"September, 1994",63.7,52.5,74.8,0.05
"August, 1994",64.5,51.3,77.7,0
"July, 1994",61.8,52.1,71.4,0
"June, 1994",61.3,47.2,75.4,0.03
"May, 1994",56.9,47.4,66.3,1.83
"April, 1994",54.3,44.1,64.6,2.23
"March, 1994",53.7,42.5,65,0.78
"February, 1994",47.9,38.8,57,7.58
"January, 1994",50.1,38.8,61.4,3.12
"December, 1993",48.9,38.9,59,4.3
"November, 1993",53,41.1,65,2.87
"October, 1993",61.6,50.4,72.9,0.69
"September, 1993",63.3,51.3,75.4,0.02
"August, 1993",66,54.3,77.5,0.01
"July, 1993",63.3,52.5,74.1,0
"June, 1993",63.4,50.3,76.6,0.64
"May, 1993",59.1,48.8,69.4,1.11
"April, 1993",54.8,44,65.7,1.23
"March, 1993",55,45.8,64.1,3.6
"February, 1993",48.9,41,56.8,8.71
"January, 1993",47.9,39.8,56,15.06
"December, 1992",47.3,38.4,56.1,9.46
"November, 1992",54.3,42.9,65.8,0.24
"October, 1992",62.7,51.2,74.2,1.94
"September, 1992",64.5,52.1,76.9,0.01
"August, 1992",66.2,53.3,79.1,0.03
"July, 1992",66.4,55.4,77.5,0.02
"June, 1992",61.9,52.5,71.3,0.56
"May, 1992",60.7,50.2,71.1,0.01
"April, 1992",58.4,46.7,70.1,0.33
"March, 1992",53.8,46,61.7,5.09
"February, 1992",53.4,44.8,62,11.9
"January, 1992",48.6,37.5,59.8,3.22
"December, 1991",49.1,38.3,59.8,5
"November, 1991",55,43.3,66.6,1.22
"October, 1991",61.9,49.7,74,2.37
"September, 1991",64,52.9,75.2,0.06
"August, 1991",65.4,54.6,76.3,0.16
"July, 1991",64,53.6,74.4,0.04
"June, 1991",58.3,47.7,68.9,0.29
"May, 1991",55.4,44.8,66.1,0.19
"April, 1991",52.7,41.4,64,0.69
"March, 1991",48,40.3,55.7,14.82
"February, 1991",53.4,42.3,64.5,3.98
"January, 1991",48.2,37.5,58.9,0.6
"December, 1990",44.1,32.2,56,2.45
"November, 1990",53.3,40.7,66,0.46
"October, 1990",61.4,47.7,75.1,0.45
"September, 1990",64.8,52.3,77.3,0.38
"August, 1990",66.3,55.6,77,0.05
"July, 1990",65.7,54.2,77.2,0.04
"June, 1990",62.6,49.6,75.6,0.01
"May, 1990",57.3,47.3,67.4,3.67
"April, 1990",57.2,46.3,68,0.46
"March, 1990",51.8,42.1,61.5,2.12
"February, 1990",47.3,37.3,57.4,3.53
"January, 1990",48.7,38.5,59,3.95
"December, 1989",50,36.4,63.6,0.05
"November, 1989",54.4,41.5,67.3,1.61
"October, 1989",59.3,47.6,71,2.47
"September, 1989",62.6,51.9,73.3,1.09
"August, 1989",63.8,52.2,75.3,0.08
"July, 1989",64.2,50.1,78.4,0
"June, 1989",62.5,50.5,74.4,0.03
"May, 1989",57.6,45.9,69.4,0.17
"April, 1989",57.4,46.1,68.8,0.9
"March, 1989",53.1,44.6,61.6,7.07
"February, 1989",46.6,36.8,56.4,1.73
"January, 1989",46.9,35.7,58.1,1.97
"December, 1988",47.9,37.7,58,6.51
"November, 1988",53.2,44.8,61.6,4.13
"October, 1988",60,50.3,69.8,0.23
"September, 1988",63.2,50.8,75.6,0.01
"August, 1988",65.1,53.6,76.6,0
"July, 1988",66.1,53.3,78.8,0.01
"June, 1988",61.2,49,73.4,0.15
"May, 1988",57,44.8,69.1,0.82
"April, 1988",55.4,44.3,66.5,2.73
"March, 1988",53.4,40.7,66.2,0.09
"February, 1988",52.7,39.2,66.1,0.74
"January, 1988",49.4,40.2,58.6,4.24
"December, 1987",48.3,41.4,55.2,7.93
"November, 1987",53.4,43.6,63.2,2.81
"October, 1987",62.8,52.6,73,1.21
"September, 1987",64.5,52.4,76.6,0
"August, 1987",64.4,53.4,75.4,0.01
"July, 1987",62.4,50.4,74.5,0.02
"June, 1987",61.3,49.8,72.7,0.03
"May, 1987",59.8,49.2,70.4,0.02
"April, 1987",57.1,43.5,70.6,0.55
"March, 1987",51.5,41.1,61.9,4.72
"February, 1987",50.8,40.1,61.5,6.29
"January, 1987",47.3,37.7,57,4.07
"December, 1986",49.1,38.4,59.8,2.01
"November, 1986",54.8,41.4,68.3,0.15
"October, 1986",60.3,48.5,72,0.11
"September, 1986",60,49.9,70.1,1.35
"August, 1986",64.1,53,75.1,0.02
"July, 1986",63.4,51.7,75.1,0.07
"June, 1986",62.4,50.7,74.2,0
"May, 1986",57.7,45,70.4,0.44
"April, 1986",53.9,42.8,65,0.83
"March, 1986",55.1,44.7,65.4,9.5
"February, 1986",52.9,44.6,61.2,16.08
"January, 1986",53,44.1,61.8,6.19
"December, 1985",49,37.9,60,3.99
"November, 1985",50,40.9,59.2,5.59
"October, 1985",58.2,46,70.4,1.23
"September, 1985",62.7,52.2,73.1,0.51
"August, 1985",64.4,51.2,77.5,0.02
"July, 1985",66.6,54.1,79.1,0.14
"June, 1985",63.5,50.8,76.2,0.19
"May, 1985",56.4,44.7,68,0.24
"April, 1985",56.7,45.1,68.3,0.44
"March, 1985",48.3,38.9,57.6,6.79
"February, 1985",50.1,38.1,62,3.18
"January, 1985",46.7,36.3,57,1.31
"December, 1984",46.6,37.9,55.2,2.82
"November, 1984",50.9,43.2,58.6,10.14
"October, 1984",58.4,47.8,69,2.92
"September, 1984",69.2,53.9,84.4,0.16
"August, 1984",66.1,53.2,79.1,0.01
"July, 1984",66.5,53.8,79.2,0.03
"June, 1984",60.6,47.8,73.4,0.24
"May, 1984",60.9,46.4,75.4,0.1
"April, 1984",52.9,41.4,64.5,1.19
"March, 1984",54.1,42.6,65.6,2.23
"February, 1984",50,39.7,60.2,2.5
"January, 1984",49.7,39.2,60.1,0.48
"December, 1983",51.2,45.2,57.2,9.35
"November, 1983",52.7,44.6,60.8,10.96
"October, 1983",62.7,51.1,74.3,1.08
"September, 1983",68,55.8,80.3,1.18
"August, 1983",67.5,55,79.9,0.22
"July, 1983",65.3,51.9,78.7,0.01
"June, 1983",61.6,49.8,73.4,0.05
"May, 1983",57.6,46.6,68.5,0.72
"April, 1983",52,43,61.1,6.51
"March, 1983",52,45.2,58.9,15.22
"February, 1983",51.8,44.4,59.2,11.6
"January, 1983",50.2,40.4,60,11.81
"December, 1982",48.7,40,57.4,5.52
"November, 1982",51.8,42.4,61.2,8.46
"October, 1982",59.9,47.9,72,3.23
"September, 1982",64,51.7,76.2,1.29
"August, 1982",64.8,52,77.6,0.06
"July, 1982",63.2,51.3,75.2,0.01
"June, 1982",59.2,49.9,68.5,0.42
"May, 1982",56.9,46,67.7,0.02
"April, 1982",53,42.5,63.5,6.8
"March, 1982",49.3,41.2,57.4,10.3
"February, 1982",51.4,41.6,61.2,5.11
"January, 1982",45.2,34.9,55.5,13.04
"December, 1981",50.8,42.5,59.1,5.68
"November, 1981",55,46.5,63.6,8.43
"October, 1981",57,44.7,69.2,2.62
"September, 1981",62.8,50.8,74.8,0.16
"August, 1981",63.9,50.5,77.2,0
"July, 1981",63.2,49.9,76.5,0
"June, 1981",65.5,50.4,80.6,0
"May, 1981",57.4,45.7,69.2,0.3
"April, 1981",54.5,41.6,67.3,0.41
"March, 1981",50.6,41.5,59.6,7.14
"February, 1981",51.7,41.6,61.7,2.6
"January, 1981",51,41.9,60,8.55
"December, 1980",50.8,39.2,62.4,3.87
"November, 1980",53.6,40.3,66.9,0.21
"October, 1980",60.3,46.5,74.1,0.07
"September, 1980",62.8,51.2,74.4,0.01
"August, 1980",63.3,52.5,74.1,0.01
"July, 1980",64.5,53,75.9,0.12
"June, 1980",58.7,46.4,70.9,0.14
"May, 1980",55,44.6,65.4,0.58
"April, 1980",53.9,42.7,65.2,2.62
"March, 1980",50.9,40.1,61.7,2.67
"February, 1980",52.6,44.2,61,11.91
"January, 1980",50.4,42.5,58.4,9.08
