Month,Avg. Temp,Min. Temp,Max. Temp,Precip.
"August, 1996",63.3,51.8,74.9,0
"July, 1996",63,52.4,73.6,0
"June, 1996",60,49.5,70.6,0.01
"May, 1996",57.3,48.7,65.9,3.34
"April, 1996",55.6,46.7,64.4,3.97
"March, 1996",53.7,45.2,62.2,3.04
"February, 1996",53,47.6,58.4,11.36
"January, 1996",49.8,43.8,55.8,10.67
"December, 1995",52.2,46.8,57.5,13.06
"November, 1995",57.5,48,67,0.32
"October, 1995",60.8,49.9,71.7,0.03
"September, 1995",62.9,53.5,72.3,0
"August, 1995",63.2,52.4,73.9,0.01
"July, 1995",63.1,54.1,72,0
"June, 1995",58.8,50.5,67,0.86
"May, 1995",54.4,47.9,60.9,1.98
"April, 1995",52.8,45.7,59.9,2.89
"March, 1995",51.1,44.7,57.4,14.58
"February, 1995",53.1,47,59.1,0.8
"January, 1995",51.7,48.7,54.7,21.17
"December, 1994",45.8,40.1,51.6,5.03
"November, 1994",48,41.2,54.7,11.26
"October, 1994",58.4,48.4,68.4,0.83
"September, 1994",62.2,52.7,71.6,0.03
"August, 1994",62.5,50.9,74,0
"July, 1994",59,50.2,67.8,0
"June, 1994",59.3,48.5,70,0.06
"May, 1994",55.5,47.9,63.2,1.57
"April, 1994",53.9,45.6,62.2,1.92
"March, 1994",53.4,44.5,62.4,0.41
"February, 1994",48.2,41,55.4,6.5
"January, 1994",49.3,41.6,57,3.65
"December, 1993",47.2,40.5,53.9,4.37
"November, 1993",52.9,43.4,62.3,4.08
"October, 1993",60.5,51.5,69.5,1.17
"September, 1993",62,50.9,73.2,0.01
"August, 1993",63.7,53.8,73.7,0
"July, 1993",61.3,51.7,70.8,0
"June, 1993",61.6,51.5,71.6,1.09
"May, 1993",57.1,49.6,64.4,1.6
"April, 1993",54,46.3,61.7,1.51
"March, 1993",54.5,47.6,61.3,3.14
"February, 1993",49.1,42.8,55.4,7.82
"January, 1993",46.6,40.1,53.1,15.46
"December, 1992",47.2,41,53.3,11.06
"November, 1992",54.6,46.1,63.1,0.55
"October, 1992",62,52.9,71,3.69
"September, 1992",62.9,52.8,73,0.03
"August, 1992",63.1,52.4,73.8,0.06
"July, 1992",62.2,53.7,70.7,0
"June, 1992",59.3,51.7,67,0.81
"May, 1992",60,50.4,69.6,0
"April, 1992",56.8,48,65.7,1.53
"March, 1992",53.8,47.4,60.1,5.34
"February, 1992",53.5,46.8,60.2,10.34
"January, 1992",46.1,39.9,52.3,2.69
"December, 1991",48.3,40.6,56,3.7
"November, 1991",54.9,45.7,64.1,1.5
"October, 1991",61.7,50.8,72.6,2.7
"September, 1991",62.6,52.8,72.4,0.02
"August, 1991",61.7,53.2,70.3,0.32
"July, 1991",61.1,52,70.2,0.01
"June, 1991",57,47.3,66.6,0.5
"May, 1991",53.9,45.2,62.7,0.27
"April, 1991",52.7,44,61.3,0.99
"March, 1991",48.6,42.6,54.7,13.36
"February, 1991",53.5,44.9,62,5.33
"January, 1991",48.2,39.5,56.8,0.99
"December, 1990",43.7,34.7,52.7,1.79
"November, 1990",53.4,43.5,63.3,0.68
"October, 1990",60.8,49.2,72.4,0.36
"September, 1990",64.2,53.9,74.5,0.15
"August, 1990",64,55.1,72.8,0.01
"July, 1990",62.4,52.7,72.1,0
"June, 1990",60.5,50.3,70.6,0.01
"May, 1990",56.2,47.7,64.6,4.24
"April, 1990",56.4,48,64.8,0.42
"March, 1990",51.7,43.7,59.6,1.8
"February, 1990",47.2,39.2,55.2,3.74
"January, 1990",48.3,40.8,55.8,6.13
"December, 1989",47.3,38.8,55.8,0
"November, 1989",54.2,44.5,63.9,2.49
"October, 1989",58.1,48.9,67.4,2.68
"September, 1989",60.3,52,68.6,1.36
"August, 1989",62,52,71.9,0.05
"July, 1989",61.5,50.1,73,0
"June, 1989",59.6,50.9,68.3,0.3
"May, 1989",56.3,47,65.5,0.13
"April, 1989",56.7,47.7,65.7,1.1
"March, 1989",51.6,45.8,57.4,10.41
"February, 1989",46,38.4,53.6,1.63
"January, 1989",46.2,38,54.3,2.02
"December, 1988",48.5,41,56,5.28
"November, 1988",53.2,47.7,58.7,6.07
"October, 1988",59.2,50.6,67.9,0.41
"September, 1988",61.4,50,72.9,0
"August, 1988",62.8,53.1,72.5,0.04
"July, 1988",63.8,52.8,74.8,0
"June, 1988",60.1,50.1,70,0.57
"May, 1988",56.1,46.7,65.5,0.91
"April, 1988",55.2,46.2,64.1,2.37
"March, 1988",54.7,44.1,65.4,0.14
"February, 1988",53,42.5,63.4,0.57
"January, 1988",48.6,42.4,54.8,7.42
"December, 1987",48.6,43.9,53.3,9.81
"November, 1987",53.7,46.8,60.6,4.36
"October, 1987",61.9,53.2,70.6,1.51
"September, 1987",62.2,51.8,72.5,0
"August, 1987",61.8,52.3,71.3,0
"July, 1987",59.5,50.9,68.2,0
"June, 1987",60,50,69.9,0.03
"May, 1987",59.1,49.3,69,0.05
"April, 1987",56.8,45.6,67.9,0.29
"March, 1987",51.4,43.4,59.3,5.07
"February, 1987",51.4,43.6,59.1,6.4
"January, 1987",47.5,40.7,54.4,5.63
"December, 1986",47.9,41.4,54.4,2.48
"November, 1986",55.4,45,65.7,0.27
"October, 1986",59.5,50.2,68.8,0.33
"September, 1986",58.7,51.5,65.9,1.3
"August, 1986",61.4,52.2,70.4,0
"July, 1986",61,51.1,71,0.03
"June, 1986",60.4,51.7,69.1,0
"May, 1986",56.7,47.2,66.2,0.42
"April, 1986",53.9,45.2,62.7,1.12
"March, 1986",55.1,47.1,63.2,9.04
"February, 1986",53.6,47.6,59.6,17.96
"January, 1986",51.3,45.7,56.9,8.59
"December, 1985",45,38.8,51.2,4.1
"November, 1985",49.5,42,57,6.36
"October, 1985",58.5,48.5,68.4,1.42
"September, 1985",60.4,51.7,69.1,0.67
"August, 1985",61.8,51.2,72.5,0.01
"July, 1985",63.3,52.4,74.3,0.05
"June, 1985",62.4,51.4,73.3,0.09
"May, 1985",55.2,45.5,64.8,0.05
"April, 1985",56.2,47,65.4,0.42
"March, 1985",49.2,41.7,56.6,5.7
"February, 1985",50.7,41.6,59.8,3.44
"January, 1985",44.8,38.6,50.9,1.31
"December, 1984",46.2,40.5,51.9,2.63
"November, 1984",51.3,45.5,57,12.37
"October, 1984",57.2,49.6,64.8,3.04
"September, 1984",65.9,53.7,78.2,0.17
"August, 1984",62.7,52,73.4,0.53
"July, 1984",63.3,52.7,73.9,0
"June, 1984",59,48.3,69.6,0.37
"May, 1984",58.8,48.3,69.2,0.24
"April, 1984",52.4,43.9,60.9,1.69
"March, 1984",54.4,45.9,62.8,2.48
"February, 1984",49.5,42.6,56.5,2.98
"January, 1984",49.4,42.8,56,0.59
"December, 1983",51,47.9,54,13.39
"November, 1983",53,47.8,58.1,12.26
"October, 1983",61.8,52.5,71,0.95
"September, 1983",65.6,55.6,75.7,0.6
"August, 1983",64.3,54.5,74.1,0.71
"July, 1983",62.1,51.9,72.2,0.02
"June, 1983",59.7,49.4,70,0.01
"May, 1983",55.6,46.9,64.4,0.47
"April, 1983",51.4,44.9,57.8,5.03
"March, 1983",51.6,47,56.1,17.5
"February, 1983",51.9,47.4,56.3,12.87
"January, 1983",47.1,41.9,52.3,10.04
"December, 1982",48.1,42,54.3,5.34
"November, 1982",50,43.8,56.2,10.46
"October, 1982",58.7,49.7,67.7,4.43
"September, 1982",62.3,52.8,71.8,0.81
"August, 1982",62.2,52,72.4,0.01
"July, 1982",60.6,51.1,70,0.01
"June, 1982",56.4,49.4,63.4,0.08
"May, 1982",56.2,46.8,65.6,0
"April, 1982",52.4,45.4,59.3,5.38
"March, 1982",49,42.6,55.4,9.09
"February, 1982",50.8,43.4,58.2,6.32
"January, 1982",44.6,38.1,51,12.32
"December, 1981",51.1,46.2,55.9,11.68
"November, 1981",55.1,49.5,60.6,9.65
"October, 1981",56.4,47.7,65,3.33
"September, 1981",61.4,52.6,70.2,0.39
"August, 1981",62.1,51.9,72.2,0.01
"July, 1981",60.8,50.3,71.2,0.04
"June, 1981",65,53.4,76.6,0
"May, 1981",57.4,47.7,67.1,0.41
"April, 1981",54.7,45.1,64.2,0.25
"March, 1981",51.1,44.4,57.7,6.08
"February, 1981",52,44.9,59.1,2.84
"January, 1981",49.6,44.7,54.4,8.59
"December, 1980",50.2,43,57.3,4.51
"November, 1980",54.9,45.4,64.4,0.43
"October, 1980",59.9,48.9,70.9,0.33
"September, 1980",61.4,51.8,71,0
"August, 1980",59.6,50.8,68.3,0
"July, 1980",61.3,51.2,71.5,0.06
"June, 1980",57,47.4,66.7,0.16
"May, 1980",54.2,45.7,62.7,0.37
"April, 1980",53.3,44.6,61.9,2.38
"March, 1980",51.3,42.8,59.7,2.16
"February, 1980",52.7,47.4,58,11.42
"January, 1980",49.1,43.6,54.6,9.24
