<<<<<<< HEAD
,Year,County,HarvestedAcres,Yield(Unit/Acre),Production,Price(Dollars/Unit),Unit,Value(Dollars)
67,2007,Placer,190.0,2.71,515.0,873.59,TONS,449900
68,2007,SantaCruz,598.0,2.13,1274.0,2383.83,TON,3037000
69,2007,Sonoma,54899.0,3.62,198533.0,2098.14,TON,416549600
70,2006,Marin,118.0,1.86,219.0,2273.52,TONS,497900
71,2006,Napa,42188.0,3.62,152776.0,3070.33,TONS,469072900
72,2006,Placer,189.0,2.57,485.0,974.43,TONS,472600
73,2006,SantaCruz,600.0,3.0,1800.0,2390.0,TONS,4302000
74,2006,Sonoma,55507.0,3.9,216248.0,1990.76,TONS,430496900
75,2005,Marin,108.0,1.04,112.0,2371.43,TONS,265600
76,2005,Napa,41910.0,4.32,181025.0,2987.43,TONS,540800000
77,2005,Placer,230.0,2.24,515.0,781.94,TONS,402700
78,2005,SantaCruz,575.0,1.39,799.0,2200.25,TONS,1758000
79,2005,Sonoma,57050.0,4.05,230910.0,1864.64,TONS,430563500
80,2004,Marin,110.0,1.26,139.0,1914.39,TONS,266100
81,2004,Napa,40439.0,2.96,119874.0,2915.56,TON,349500000
82,2004,Placer,230.0,3.2,736.0,878.94,TONS,646900
83,2004,SantaCruz,572.0,1.2,686.0,2131.2,TONS,1462000
84,2004,Sonoma,50010.0,3.31,165783.0,1882.64,TONS,312110200
85,2003,Marin,74.0,1.57,116.0,1991.38,TON,231000
86,2003,Napa,39106.0,3.29,128814.0,2985.7,TON,384600000
87,2003,Placer,200.0,1.76,352.0,1036.08,TON,364700
88,2003,SantaCruz,574.0,3.33,1911.0,1350.08,TON,2580000
89,2003,Sonoma,52176.0,3.08,160768.0,1967.2,TON,316262300
90,2002,Marin,82.0,1.77,145.0,1759.0,TON,255000
91,2002,Napa,37072.0,3.51,130099.0,2920.0,TON,379930000
92,2002,Placer,130.0,3.0,390.0,1070.0,TON,417300
93,2002,SantaCruz,549.0,4.0,2196.0,1500.0,TON,3294000
94,2002,Sonoma,46587.0,3.93,183139.0,2055.0,TON,376422300
95,2001,Marin,95.0,2.4,228.0,2043.0,TONS,465900
96,2001,Napa,35095.0,3.6,126438.0,2802.0,TONS,354338000
97,2001,Placer,40.0,1.5,60.0,1350.0,TONS,81000
98,2001,SantaCruz,466.0,3.5,1631.0,2270.0,TONS,3702000
99,2001,Sonoma,43589.0,3.98,173583.0,2157.0,TONS,374389700
100,2000,Marin,94.0,1.24,117.0,2009.0,TON,235100
101,2000,Napa,32365.0,4.23,136962.0,2464.0,TON,337469000
102,2000,SantaCruz,477.0,1.61,768.0,2271.0,TON,1744000
103,2000,Sonoma,42220.0,4.52,190789.0,2043.0,TON,389781900
104,1999,Marin,91.0,1.7,155.0,1935.0,TON,300000
105,1999,Napa,30506.0,3.39,103526.0,2143.0,TON,221852000
106,1999,SantaCruz,260.0,2.64,686.0,2204.0,TON,1512000
107,1999,Sonoma,42227.0,3.37,142477.0,1890.0,TON,269271000
108,1998,Napa,30875.0,3.32,102355.0,1910.0,TONS,195481000
109,1998,SantaCruz,254.0,1.3,330.0,1533.0,TONS,506000
110,1998,Sonoma,35334.0,3.77,133258.0,1740.0,TONS,231828000
111,1997,Napa,31184.0,4.62,144217.0,1724.0,TONS,248701000
112,1997,SantaCruz,245.0,4.4,1078.0,1955.0,TONS,2107000
113,1997,Sonoma,34121.0,5.5,187674.0,1589.0,TONS,298147300
114,1996,Napa,30919.0,3.24,100251.0,1512.0,TONS,151595000
115,1996,SantaCruz,245.0,2.1,514.0,1951.0,TONS,1003000
116,1996,Sonoma,33703.0,3.8,127990.0,1372.0,TONS,175572200
117,1995,Napa,31514.0,3.49,109842.0,1310.0,TONS,143929000
118,1995,SantaCruz,180.0,1.11,200.0,1600.0,TONS,320000
119,1995,Sonoma,33189.0,4.22,139993.0,1135.0,TONS,158824800
120,1994,Napa,32239.0,3.76,121292.0,1213.0,TONS,147161000
121,1994,SantaCruz,188.0,0.81,152.0,1296.0,TONS,197000
122,1994,Sonoma,33766.0,4.53,153096.0,995.0,TONS,152280700
123,1993,Napa,32034.0,3.48,111589.0,1205.0,TONS,134486000
124,1993,SantaCruz,163.0,0.93,152.0,1678.0,TONS,255000
125,1993,Sonoma,31475.0,4.16,131039.0,952.0,TONS,124725900
126,1992,Napa,31155.0,4.34,135256.0,1240.0,TONS,167682000
127,1992,SantaCruz,96.0,1.44,138.0,1449.0,TONS,200000
128,1992,Sonoma,31263.0,4.73,148010.0,1004.0,TONS,148618600
129,1991,Napa,29993.0,4.61,138322.0,1260.0,TONS,174275000
130,1991,SantaCruz,110.0,1.6,176.0,1489.0,TONS,262000
131,1991,Sonoma,29421.0,4.95,145493.0,1016.0,TONS,147802900
132,1990,Napa,28846.0,3.96,114304.0,1229.0,TONS,140484000
133,1990,SantaCruz,120.0,2.0,240.0,1363.0,TONS,327000
134,1990,Sonoma,29473.0,3.8,111921.0,1004.0,TONS,112401900
135,1989,Napa,27858.0,4.77,132849.0,1157.0,TONS,153688000
136,1989,Placer,111.0,2.58,286.0,434.0,TONS,124000
137,1989,SantaCruz,120.0,1.8,216.0,1449.0,TONS,313000
138,1989,Sonoma,29298.0,4.42,129544.0,944.0,TONS,122306600
139,1988,Napa,29243.0,3.41,99777.0,982.0,TONS,97943000
140,1988,Placer,123.0,2.17,267.0,330.0,TONS,88100
141,1988,SantaCruz,110.0,1.1,121.0,1149.0,TONS,139000
142,1988,Sonoma,29452.0,3.54,104161.0,805.0,TON,83824800
143,1987,Napa,28970.0,3.46,100180.0,820.0,TONS,82162000
144,1987,Placer,125.0,2.13,266.0,395.0,TONS,105000
145,1987,SantaCruz,105.0,0.9,95.0,895.0,TONS,85000
146,1987,Sonoma,28191.0,3.77,106205.0,636.0,TONS,67567600
147,1986,Napa,27653.0,4.09,113220.0,757.0,TON,85676000
148,1986,Placer,126.0,2.06,260.0,276.0,TON,71800
149,1986,Sonoma,28609.0,3.77,107992.0,579.0,TON,62565480
150,1985,Napa,25690.0,3.95,101407.0,772.0,TONS,78332000
151,1985,Placer,126.0,1.36,171.0,211.0,TONS,36100
152,1985,Sonoma,28099.0,3.59,100962.0,572.0,TONS,57700792
153,1984,Napa,24831.0,4.03,99996.0,768.0,TONS,76836000
154,1984,Placer,129.0,2.05,265.0,193.0,TONS,51100
155,1984,SantaCruz,103.0,1.55,160.0,825.0,TONS,132000
156,1984,Sonoma,26348.0,3.81,100293.0,592.0,TONS,59369600
157,1983,Napa,25245.0,3.53,89084.0,714.0,TONS,63604000
158,1983,Placer,129.0,2.0,258.0,265.0,TONS,68400
159,1983,SantaCruz,97.0,1.27,123.0,821.0,TONS,101000
160,1983,Sonoma,25541.0,3.14,80201.0,543.0,TONS,43514100
161,1982,Napa,24168.0,4.08,98687.0,773.0,TONS,76257000
162,1982,Placer,129.0,1.22,157.0,303.0,TONS,47600
163,1982,Sonoma,24746.0,4.0,98979.0,565.0,TONS,55910300
164,1981,Napa,22152.0,3.62,80155.0,732.0,TONS,58659000
165,1981,Sonoma,23776.0,3.39,80675.0,590.0,TONS,47626000
166,1980,Napa,22261.0,3.6,80112.0,622.0,TONS,49863000
167,1980,Sonoma,23639.0,3.34,78941.0,506.0,TONS,39982000
=======
Year,County,HarvestedAcres,Yield(Unit/Acre),Production,Price(Dollars/Unit),Unit,Value(Dollars)
2020,Marin,195.0,1.33,260.0,3607.69,Tons,938000
2020,Napa,45200.0,2.2,99300.0,4646.48,Tons,461395000
2020,Placer,315.0,2.79,879.0,2235.49,Tons,1965000
2020,SantaCruz,670.0,2.39,1600.0,3008.75,Tons,4814000
2020,Sonoma,56800.0,2.61,148000.0,2375.08,Tons,351512000
2019,Marin,195.0,2.08,406.0,3371.92,,1369000
2019,Napa,44200.0,3.62,160000.0,5862.26,Tons,937962000
2019,Placer,307.0,3.75,1150.0,1386.09,Tons,1594000
2019,SantaCruz,679.0,2.55,1730.0,3384.97,Tons,5856000
2019,Sonoma,57500.0,4.0,230000.0,2843.57,Tons,654021000
2018,Marin,195.0,1.96,382.0,3201.57,Tons,1223000
2018,Napa,43400.0,4.26,185000.0,5614.05,Tons,1038600000
2018,Placer,293.0,3.65,1070.0,1355.14,Tons,1450000
2018,SantaCruz,630.0,2.27,1430.0,2934.97,Tons,4197000
2018,Sonoma,59900.0,4.61,276000.0,2817.66,Tons,777675000
2017,Marin,195.0,1.49,291.0,3072.16,Tons,894000
2017,Napa,43600.0,3.26,142000.0,5287.55,Tons,750832000
2017,Placer,270.0,3.01,814.0,1371.01,Tons,1116000
2017,SantaCruz,638.0,2.35,1500.0,3226.67,Tons,4840000
2017,Sonoma,60000.0,3.43,206000.0,2807.34,Tons,578313000
2016,Marin,182.0,1.37,250.0,3468.0,Tons,867000
2016,Napa,43400.0,3.53,153000.0,4768.02,Tons,729507000
2016,Placer,265.0,3.11,823.0,1245.44,Tons,1025000
2016,SantaCruz,626.0,2.43,1520.0,2988.82,Tons,4543000
2016,Sonoma,60000.0,3.77,226000.0,2595.21,Tons,586518000
2015,Marin,175.0,0.59,103.0,3368.93,Tons,347000
2015,Napa,43000.0,2.88,124000.0,4410.76,Tons,546934000
2015,Placer,215.0,1.63,350.0,1488.57,Tons,521000
2015,SantaCruz,656.0,1.26,827.0,2844.01,Tons,2352000
2015,Sonoma,58200.0,3.14,183000.0,2440.1,Tons,446539000
2014,Marin,175.0,1.86,325.0,2163.08,Tons,703000
2014,Napa,43600.0,4.04,176000.0,4061.43,Tons,714811000
2014,Placer,212.0,2.57,545.0,1390.83,Tons,758000
2014,SantaCruz,654.0,2.55,1670.0,2921.56,Tons,4879000
2014,Sonoma,58300.0,4.39,256000.0,2315.62,Tons,592798000
2013,Marin,175.0,1.75,306.0,2856.21,tons,874000
2013,Napa,43600.0,4.01,175000.0,3749.91,tons,656235000
2013,Placer,211.0,3.55,750.0,1225.33,tons,919000
2013,SantaCruz,656.0,2.71,1780.0,2584.83,tons,4601000
2013,Sonoma,59800.0,4.53,271000.0,2232.72,tons,605068000
2012,Marin,186.0,2.08,387.0,3170.54,Tons,1227000
2012,Napa,43200.0,4.24,183000.0,3585.99,Tons,656236000
2012,Placer,197.0,3.55,699.0,1100.14,Tons,769000
2012,SantaCruz,630.0,3.16,1990.0,2701.01,Tons,5375000
2012,Sonoma,58300.0,4.58,267000.0,2183.3,Tons,582942000
2011,Marin,186.0,1.03,191.0,4623.04,Tons,883000
2011,Napa,43600.0,2.8,122000.0,3470.84,Tons,423442000
2011,Placer,190.0,1.94,368.0,1089.67,Tons,401000
2011,SantaCruz,644.0,1.04,670.0,2398.51,Tons,1607000
2011,Sonoma,58100.0,2.87,167000.0,2078.32,Tons,347080000
2010,Marin,186.0,1.11,207.0,5125.6,Tons,1061000
2010,Napa,43300.0,3.21,139000.0,3265.35,Tons,453883000
2010,Placer,226.0,2.0,452.0,1070.8,Tons,484000
2010,SantaCruz,607.0,2.22,1350.0,2271.11,Tons,3066000
2010,Sonoma,56500.0,3.4,192000.0,2033.58,Tons,390448000
2009,Marin,193.0,1.27,246.0,3186.59,Tons,783900
2009,Napa,43031.0,3.32,142976.0,3462.25,Tons,495018700
2009,Placer,211.0,2.4,506.0,997.04,Tons,504500
2009,SantaCruz,629.0,2.31,1453.0,2229.18,Tons,3239000
2009,Sonoma,56306.0,3.78,212675.0,2186.61,Tons,465036400
2008,Marin,195.0,1.02,199.0,3537.19,TONS,703900
2008,Napa,42870.0,2.7,115864.0,3451.57,TONS,399913100
2008,Placer,212.0,2.31,490.0,1015.71,TONS,497700
2008,SantaCruz,612.0,1.93,1181.0,2488.57,TON,2939000
2008,Sonoma,55431.0,3.05,168992.0,2255.09,TONS,381092000
2007,Marin,192.0,0.9,173.0,4368.21,TONS,755700
2007,Napa,42338.0,3.43,145115.0,3256.77,TONS,472606600
2007,Placer,190.0,2.71,515.0,873.59,TONS,449900
2007,SantaCruz,598.0,2.13,1274.0,2383.83,TON,3037000
2007,Sonoma,54899.0,3.62,198533.0,2098.14,TON,416549600
2006,Marin,118.0,1.86,219.0,2273.52,TONS,497900
2006,Napa,42188.0,3.62,152776.0,3070.33,TONS,469072900
2006,Placer,189.0,2.57,485.0,974.43,TONS,472600
2006,SantaCruz,600.0,3.0,1800.0,2390.0,TONS,4302000
2006,Sonoma,55507.0,3.9,216248.0,1990.76,TONS,430496900
2005,Marin,108.0,1.04,112.0,2371.43,TONS,265600
2005,Napa,41910.0,4.32,181025.0,2987.43,TONS,540800000
2005,Placer,230.0,2.24,515.0,781.94,TONS,402700
2005,SantaCruz,575.0,1.39,799.0,2200.25,TONS,1758000
2005,Sonoma,57050.0,4.05,230910.0,1864.64,TONS,430563500
2004,Marin,110.0,1.26,139.0,1914.39,TONS,266100
2004,Napa,40439.0,2.96,119874.0,2915.56,TON,349500000
2004,Placer,230.0,3.2,736.0,878.94,TONS,646900
2004,SantaCruz,572.0,1.2,686.0,2131.2,TONS,1462000
2004,Sonoma,50010.0,3.31,165783.0,1882.64,TONS,312110200
2003,Marin,74.0,1.57,116.0,1991.38,TON,231000
2003,Napa,39106.0,3.29,128814.0,2985.7,TON,384600000
2003,Placer,200.0,1.76,352.0,1036.08,TON,364700
2003,SantaCruz,574.0,3.33,1911.0,1350.08,TON,2580000
2003,Sonoma,52176.0,3.08,160768.0,1967.2,TON,316262300
2002,Marin,82.0,1.77,145.0,1759.0,TON,255000
2002,Napa,37072.0,3.51,130099.0,2920.0,TON,379930000
2002,Placer,130.0,3.0,390.0,1070.0,TON,417300
2002,SantaCruz,549.0,4.0,2196.0,1500.0,TON,3294000
2002,Sonoma,46587.0,3.93,183139.0,2055.0,TON,376422300
2001,Marin,95.0,2.4,228.0,2043.0,TONS,465900
2001,Napa,35095.0,3.6,126438.0,2802.0,TONS,354338000
2001,Placer,40.0,1.5,60.0,1350.0,TONS,81000
2001,SantaCruz,466.0,3.5,1631.0,2270.0,TONS,3702000
2001,Sonoma,43589.0,3.98,173583.0,2157.0,TONS,374389700
2000,Marin,94.0,1.24,117.0,2009.0,TON,235100
2000,Napa,32365.0,4.23,136962.0,2464.0,TON,337469000
2000,SantaCruz,477.0,1.61,768.0,2271.0,TON,1744000
2000,Sonoma,42220.0,4.52,190789.0,2043.0,TON,389781900
1999,Marin,91.0,1.7,155.0,1935.0,TON,300000
1999,Napa,30506.0,3.39,103526.0,2143.0,TON,221852000
1999,SantaCruz,260.0,2.64,686.0,2204.0,TON,1512000
1999,Sonoma,42227.0,3.37,142477.0,1890.0,TON,269271000
1998,Napa,30875.0,3.32,102355.0,1910.0,TONS,195481000
1998,SantaCruz,254.0,1.3,330.0,1533.0,TONS,506000
1998,Sonoma,35334.0,3.77,133258.0,1740.0,TONS,231828000
1997,Napa,31184.0,4.62,144217.0,1724.0,TONS,248701000
1997,SantaCruz,245.0,4.4,1078.0,1955.0,TONS,2107000
1997,Sonoma,34121.0,5.5,187674.0,1589.0,TONS,298147300
1996,Napa,30919.0,3.24,100251.0,1512.0,TONS,151595000
1996,SantaCruz,245.0,2.1,514.0,1951.0,TONS,1003000
1996,Sonoma,33703.0,3.8,127990.0,1372.0,TONS,175572200
1995,Napa,31514.0,3.49,109842.0,1310.0,TONS,143929000
1995,SantaCruz,180.0,1.11,200.0,1600.0,TONS,320000
1995,Sonoma,33189.0,4.22,139993.0,1135.0,TONS,158824800
1994,Napa,32239.0,3.76,121292.0,1213.0,TONS,147161000
1994,SantaCruz,188.0,0.81,152.0,1296.0,TONS,197000
1994,Sonoma,33766.0,4.53,153096.0,995.0,TONS,152280700
1993,Napa,32034.0,3.48,111589.0,1205.0,TONS,134486000
1993,SantaCruz,163.0,0.93,152.0,1678.0,TONS,255000
1993,Sonoma,31475.0,4.16,131039.0,952.0,TONS,124725900
1992,Napa,31155.0,4.34,135256.0,1240.0,TONS,167682000
1992,SantaCruz,96.0,1.44,138.0,1449.0,TONS,200000
1992,Sonoma,31263.0,4.73,148010.0,1004.0,TONS,148618600
1991,Napa,29993.0,4.61,138322.0,1260.0,TONS,174275000
1991,SantaCruz,110.0,1.6,176.0,1489.0,TONS,262000
1991,Sonoma,29421.0,4.95,145493.0,1016.0,TONS,147802900
1990,Napa,28846.0,3.96,114304.0,1229.0,TONS,140484000
1990,SantaCruz,120.0,2.0,240.0,1363.0,TONS,327000
1990,Sonoma,29473.0,3.8,111921.0,1004.0,TONS,112401900
1989,Napa,27858.0,4.77,132849.0,1157.0,TONS,153688000
1989,Placer,111.0,2.58,286.0,434.0,TONS,124000
1989,SantaCruz,120.0,1.8,216.0,1449.0,TONS,313000
1989,Sonoma,29298.0,4.42,129544.0,944.0,TONS,122306600
1988,Napa,29243.0,3.41,99777.0,982.0,TONS,97943000
1988,Placer,123.0,2.17,267.0,330.0,TONS,88100
1988,SantaCruz,110.0,1.1,121.0,1149.0,TONS,139000
1988,Sonoma,29452.0,3.54,104161.0,805.0,TON,83824800
1987,Napa,28970.0,3.46,100180.0,820.0,TONS,82162000
1987,Placer,125.0,2.13,266.0,395.0,TONS,105000
1987,SantaCruz,105.0,0.9,95.0,895.0,TONS,85000
1987,Sonoma,28191.0,3.77,106205.0,636.0,TONS,67567600
1986,Napa,27653.0,4.09,113220.0,757.0,TON,85676000
1986,Placer,126.0,2.06,260.0,276.0,TON,71800
1986,Sonoma,28609.0,3.77,107992.0,579.0,TON,62565480
1985,Napa,25690.0,3.95,101407.0,772.0,TONS,78332000
1985,Placer,126.0,1.36,171.0,211.0,TONS,36100
1985,Sonoma,28099.0,3.59,100962.0,572.0,TONS,57700792
1984,Napa,24831.0,4.03,99996.0,768.0,TONS,76836000
1984,Placer,129.0,2.05,265.0,193.0,TONS,51100
1984,SantaCruz,103.0,1.55,160.0,825.0,TONS,132000
1984,Sonoma,26348.0,3.81,100293.0,592.0,TONS,59369600
1983,Napa,25245.0,3.53,89084.0,714.0,TONS,63604000
1983,Placer,129.0,2.0,258.0,265.0,TONS,68400
1983,SantaCruz,97.0,1.27,123.0,821.0,TONS,101000
1983,Sonoma,25541.0,3.14,80201.0,543.0,TONS,43514100
1982,Napa,24168.0,4.08,98687.0,773.0,TONS,76257000
1982,Placer,129.0,1.22,157.0,303.0,TONS,47600
1982,Sonoma,24746.0,4.0,98979.0,565.0,TONS,55910300
1981,Napa,22152.0,3.62,80155.0,732.0,TONS,58659000
1981,Sonoma,23776.0,3.39,80675.0,590.0,TONS,47626000
1980,Napa,22261.0,3.6,80112.0,622.0,TONS,49863000
1980,Sonoma,23639.0,3.34,78941.0,506.0,TONS,39982000
>>>>>>> 7047f41a5a6c21247571ec298ed61d0c217b4718
