Month,Avg. Temp,Min. Temp,Max. Temp,Precip.
"December, 2004",41,32.2,49.8,8.86
"November, 2004",43.7,34.1,53.4,4.09
"October, 2004",53.1,41.8,64.4,6.74
"September, 2004",64.4,49.6,79.2,0.29
"August, 2004",70.3,55.4,85.3,0.05
"July, 2004",71.2,56.3,86.1,0.02
"June, 2004",65.7,51.2,80.2,0.14
"May, 2004",57,43.6,70.4,0.94
"April, 2004",52.2,39.8,64.6,0.99
"March, 2004",51.8,39.3,64.2,1.71
"February, 2004",39.3,30.7,48,9.98
"January, 2004",39.2,30.7,47.7,4.32
"December, 2003",39.6,32.4,46.9,12.6
"November, 2003",42,32.9,51.1,3.36
"October, 2003",61.3,46.7,75.8,0.51
"September, 2003",68.3,53.4,83.1,0.17
"August, 2003",68.8,54.8,82.9,0.89
"July, 2003",74.1,58.7,89.4,0.14
"June, 2003",66.3,51.6,81.1,0.12
"May, 2003",56.2,43.5,69,2.02
"April, 2003",42.5,33.4,51.5,9.27
"March, 2003",46,35.2,56.9,4.65
"February, 2003",40.8,30.4,51.2,2.84
"January, 2003",45.9,36.9,54.8,3.27
"December, 2002",39.5,32.1,46.8,14.32
"November, 2002",48.3,37.3,59.3,6.48
"October, 2002",55.6,41.4,69.7,0.05
"September, 2002",65.8,50.6,81,0.05
"August, 2002",69.5,53.6,85.3,0.03
"July, 2002",72.9,57.4,88.4,0.07
"June, 2002",66.2,51,81.3,0.01
"May, 2002",55.8,42.2,69.4,1.79
"April, 2002",49.9,38.5,61.4,2.19
"March, 2002",43.3,32,54.5,7.06
"February, 2002",43.8,32.5,55.2,3.65
"January, 2002",37.2,27.7,46.7,4.95
"December, 2001",38.4,31.6,45.1,12.57
"November, 2001",47,37.9,56,7.77
"October, 2001",60,46.3,73.7,1.22
"September, 2001",66.8,51.9,81.7,0.57
"August, 2001",71.7,55.7,87.7,0.01
"July, 2001",69.8,55.1,84.6,0.05
"June, 2001",66,51.7,80.2,0.15
"May, 2001",64.4,49.5,79.3,0.16
"April, 2001",46,34.4,57.6,4.41
"March, 2001",48.4,37,59.8,3.12
"February, 2001",38.6,29.9,47.3,6.82
"January, 2001",38.7,28.7,48.6,4.38
"December, 2000",43,33.5,52.4,2.02
"November, 2000",41.7,31.7,51.7,1.94
"October, 2000",53.4,41.9,64.9,4.54
"September, 2000",63.5,49.5,77.5,1.08
"August, 2000",70.2,55.4,85,0.06
"July, 2000",67.6,52.4,82.6,0.01
"June, 2000",67.4,52.9,82,0.6
"May, 2000",57,44.9,69.1,3.4
"April, 2000",52,39.5,64.4,2.55
"March, 2000",45.6,34.6,56.5,2.67
"February, 2000",42.1,34.8,49.4,16.02
"January, 2000",40.1,32.9,47.4,13.47
"December, 1999",41.6,30.7,52.6,1.24
"November, 1999",48.4,37.9,59,4.31
"October, 1999",59.9,45.2,74.5,2
"September, 1999",67.1,52.2,82,0.13
"August, 1999",67,52.7,81.2,0.41
"July, 1999",68.2,53.2,83.1,0.05
"June, 1999",62.5,48.4,76.6,0.44
"May, 1999",55.2,41.8,68.6,1.22
"April, 1999",46.4,34.9,57.8,3.71
"March, 1999",41.5,31.5,51.5,4.18
"February, 1999",39,30.2,47.8,14.13
"January, 1999",40.1,31.5,48.8,10.32
"December, 1998",37.3,27.2,47.5,3.77
"November, 1998",42.9,34.6,51.3,9.3
"October, 1998",52.7,40.2,65.2,1.27
"September, 1998",64.5,52,77,2.15
"August, 1998",72.2,56.2,88.2,0.14
"July, 1998",70.6,55.5,85.7,0.1
"June, 1998",59.5,47.6,71.5,1.28
"May, 1998",47.8,38.3,57.3,6.16
"April, 1998",46.1,35.6,56.6,4.96
"March, 1998",44.2,33.9,54.4,6.88
"February, 1998",38,31.5,44.5,17.33
"January, 1998",40,33.2,46.6,14.37
"December, 1997",38.5,29.8,47.1,4.4
"November, 1997",46.6,38.3,54.8,6.29
"October, 1997",53.8,41.1,66.4,2.67
"September, 1997",65.3,51.4,79.2,0.43
"August, 1997",69.2,54.6,83.7,0.38
"July, 1997",69.6,54.8,84.4,0.1
"June, 1997",62.7,50,75.5,1.89
"May, 1997",61.6,47.8,75.3,0.82
"April, 1997",49.8,37.9,61.8,1.91
"March, 1997",48.7,36.3,61.1,1.47
"February, 1997",42.3,31.6,53,1.24
"January, 1997",39.6,31.8,47.4,21.13
"December, 1996",41.2,35.1,47.4,24.33
"November, 1996",46.6,37.2,56.1,7.68
"October, 1996",54.1,41.5,66.7,2.33
"September, 1996",63.1,48.6,77.6,0.55
"August, 1996",72.1,56.4,87.7,0.16
"July, 1996",73.3,58.1,88.4,0.15
"June, 1996",65,50.7,79.2,0.46
"May, 1996",55.4,43.8,67.1,6.63
"April, 1996",50.2,38,62.4,5.44
"March, 1996",45.9,34.7,57.1,6.65
"February, 1996",44,35.6,52.3,13.29
"January, 1996",41.3,33.5,49.1,12.59
"December, 1995",42.1,34.6,49.6,11.18
"November, 1995",52.4,40.4,64.4,0.69
"October, 1995",58.5,43.9,73.1,0.01
"September, 1995",66,50.9,81,0.01
"August, 1995",69.4,54.2,84.7,0.01
"July, 1995",67.7,53,82.3,0.09
"June, 1995",59.9,47.1,72.6,1.87
"May, 1995",52.7,42.1,63.3,5.2
"April, 1995",46.2,35.2,57.1,6.91
"March, 1995",42,33.7,50.4,21.3
"February, 1995",46.4,35.3,57.5,1.57
"January, 1995",40.2,35.1,45.4,20.81
"December, 1994",37.5,29.8,45.3,7.3
"November, 1994",37.6,28.9,46.4,10.6
"October, 1994",53.8,40.7,67,1.21
"September, 1994",64.7,50.2,79.3,0.63
"August, 1994",70.6,54.3,86.9,0
"July, 1994",72,56.2,87.8,0.01
"June, 1994",64.4,49.3,79.6,0.09
"May, 1994",56.1,43.9,68.3,2.31
"April, 1994",50.3,38.3,62.3,2.31
"March, 1994",47.6,35.7,59.6,1.56
"February, 1994",39,29.7,48.3,8.05
"January, 1994",41.9,31.6,52.1,2.52
"December, 1993",38.9,30.1,47.8,4.85
"November, 1993",45.4,34,56.7,3.26
"October, 1993",57,45,68.9,2.28
"September, 1993",65.3,49.9,80.7,0.04
"August, 1993",67.6,52.7,82.4,0.13
"July, 1993",66.9,52.3,81.4,0.02
"June, 1993",61.6,48.6,74.6,1.97
"May, 1993",56,44.1,67.8,2.65
"April, 1993",48.3,37.4,59.2,2.51
"March, 1993",48,38.5,57.5,6.16
"February, 1993",38.7,30.8,46.6,10.84
"January, 1993",36.1,28.1,44.2,14.56
"December, 1992",35.7,27.6,43.8,14.58
"November, 1992",45.6,34.8,56.4,0.75
"October, 1992",58.3,45.6,70.9,4.44
"September, 1992",65.9,50.8,81,0.17
"August, 1992",71.9,56.7,87.1,0.16
"July, 1992",68,54.1,81.9,0.21
"June, 1992",63.6,50.5,76.7,1.75
"May, 1992",63,48.6,77.3,0.28
"April, 1992",53.5,41.2,65.8,1.71
"March, 1992",46.5,36.8,56.2,4.07
"February, 1992",44.3,36.5,52,9.85
"January, 1992",40,29.9,50.1,2.3
"December, 1991",40.6,30.8,50.4,3.41
"November, 1991",47.5,36.8,58.2,2.97
"October, 1991",60.6,47.3,73.9,4.1
"September, 1991",68.5,53.3,83.8,0.31
"August, 1991",67.8,53.4,82.1,0.59
"July, 1991",71.2,56.2,86.1,0.15
"June, 1991",60.7,46.9,74.5,1.26
"May, 1991",51.4,39.5,63.4,2.85
"April, 1991",46.6,35.1,58.1,1.77
"March, 1991",38.7,30.6,46.8,18.31
"February, 1991",48,36.6,59.5,3.24
"January, 1991",40.8,29.9,51.6,0.69
"December, 1990",34.7,23.9,45.5,2.06
"November, 1990",46,33.8,58.1,1.5
"October, 1990",58.3,44.2,72.5,0.84
"September, 1990",65,50.6,79.4,0.64
"August, 1990",68.8,54.5,83.2,0.25
"July, 1990",71.3,56.4,86.2,0.23
"June, 1990",62.6,48.3,77,0.25
"May, 1990",54.1,42.6,65.7,4.8
"April, 1990",53.2,41,65.3,2.32
"March, 1990",46,34.5,57.5,2.73
"February, 1990",37,25.9,48.1,5.69
"January, 1990",38.8,29,48.7,6.79
"December, 1989",42.8,31.1,54.6,0.07
"November, 1989",48,35.8,60.2,3.89
"October, 1989",53.3,41.3,65.2,5.11
"September, 1989",62,48.3,75.7,3.02
"August, 1989",66.4,52,80.9,0.79
"July, 1989",69.8,54.2,85.4,0.02
"June, 1989",63.8,50.2,77.4,1.1
"May, 1989",55.5,42.8,68.2,1.24
"April, 1989",53.3,41,65.5,2.29
"March, 1989",44.7,36.2,53.2,15.98
"February, 1989",36.9,27.2,46.7,4.19
"January, 1989",37,26.2,47.8,2.81
"December, 1988",38.3,29,47.6,5.96
"November, 1988",44,36.2,51.8,11.14
"October, 1988",61.5,46.4,76.5,0.11
"September, 1988",66.2,50.8,81.6,0.11
"August, 1988",70.9,55.5,86.3,0.04
"July, 1988",73.8,58.3,89.2,0.12
"June, 1988",63.3,49.7,76.9,0.89
"May, 1988",53.9,40.8,67.1,1.83
"April, 1988",50.2,39,61.4,3.67
"March, 1988",47.2,34.6,59.7,1.08
"February, 1988",45.6,33,58.3,0.64
"January, 1988",39,30.4,47.6,6.86
"December, 1987",36.2,29.2,43.2,8.8
"November, 1987",45.1,35.7,54.4,3.37
"October, 1987",60.4,47,73.8,1.6
"September, 1987",66,50.3,81.6,0.01
"August, 1987",70,53.9,86.1,0
"July, 1987",65.6,50.8,80.3,0.07
"June, 1987",66.5,51.9,81.2,0.32
"May, 1987",59,46.4,71.5,0.98
"April, 1987",55.2,41.2,69.2,0.75
"March, 1987",43.6,33.7,53.6,6.58
"February, 1987",41.4,31.2,51.6,6.34
"January, 1987",36.8,27.4,46.2,5.09
"December, 1986",41.1,31.5,50.7,1.47
"November, 1986",48.5,36.2,60.8,0.82
"October, 1986",55.3,42.3,68.3,0.43
"September, 1986",57.1,45.1,69.1,3.37
"August, 1986",71.5,55.5,87.4,0.01
"July, 1986",68,53.7,82.2,0.13
"June, 1986",65.7,51.3,80.1,0.16
"May, 1986",56.3,43,69.6,1.41
"April, 1986",49.1,37.7,60.5,1.83
"March, 1986",48.8,38.4,59.2,9.21
"February, 1986",43.5,35.5,51.5,24.76
"January, 1986",45.2,36.4,53.9,7.27
"December, 1985",39.6,29.9,49.2,5.01
"November, 1985",40.8,31.7,49.8,9.19
"October, 1985",54.4,41.8,67,1.9
"September, 1985",58.7,46.6,70.8,1.95
"August, 1985",67.3,51.9,82.7,0.19
"July, 1985",72.6,58,87.2,0.13
"June, 1985",68,53.2,82.8,0.39
"May, 1985",55.6,41.8,69.4,0.08
"April, 1985",53.5,40.5,66.6,0.68
"March, 1985",40.3,29.8,50.7,7.83
"February, 1985",41.8,30.1,53.5,4.67
"January, 1985",38.1,28.3,47.9,1.28
"December, 1984",36.9,27.8,45.9,2.45
"November, 1984",42,34,50,11.94
"October, 1984",50.2,39.1,61.2,4.03
"September, 1984",67.1,52.1,82.2,0.26
"August, 1984",70.3,55.1,85.6,0.26
"July, 1984",73,57.9,88.2,0.16
"June, 1984",62.9,49,76.8,1.22
"May, 1984",59.6,45.9,73.3,1.03
"April, 1984",47,35.2,58.8,3.08
"March, 1984",47.5,36.2,58.8,3.76
"February, 1984",41.2,30.5,51.9,6.2
"January, 1984",42,32.1,52,0.85
"December, 1983",40.4,34.8,46,14.82
"November, 1983",42.9,35.4,50.4,18.3
"October, 1983",57.2,45,69.4,2.78
"September, 1983",65.5,51.7,79.3,1.67
"August, 1983",68.9,55.1,82.6,0.66
"July, 1983",65.1,50.1,80.1,0.17
"June, 1983",62.4,48.4,76.3,0.57
"May, 1983",55.4,42.2,68.7,1.26
"April, 1983",43.7,34.1,53.3,7.21
"March, 1983",42.1,34.8,49.5,15.77
"February, 1983",42.1,34.4,49.8,12.92
"January, 1983",40.2,31.6,48.8,9.58
"December, 1982",38.4,29.8,47,9.86
"November, 1982",41.9,33.3,50.5,10.67
"October, 1982",53.2,41.8,64.5,7.91
"September, 1982",61.2,48.4,74,3.72
"August, 1982",69,54.2,83.8,0.13
"July, 1982",67.8,53.3,82.3,0.14
"June, 1982",60.8,47.6,73.8,1.14
"May, 1982",57.6,43.5,71.8,0.44
"April, 1982",45.7,35,56.4,9.39
"March, 1982",41,32.6,49.4,12.65
"February, 1982",42.6,32.4,52.7,7.66
"January, 1982",35.6,26.5,44.7,10.17
"December, 1981",43,36,50,14.06
"November, 1981",46.9,38.6,55.2,16.75
"October, 1981",51.6,39.9,63.3,5.97
"September, 1981",66.3,51.5,81.1,0.84
"August, 1981",71.2,54.6,87.8,0.01
"July, 1981",70.4,53.5,87.2,0.01
"June, 1981",68.2,53.5,82.9,0.07
"May, 1981",56.9,43.9,69.9,2.14
"April, 1981",51.4,38.5,64.2,1.66
"March, 1981",43.6,34,53.2,7.21
"February, 1981",43.1,32.6,53.7,3.23
"January, 1981",42.9,34.3,51.4,9.22
"December, 1980",44,33.8,54.1,3.66
"November, 1980",48.2,36.5,60,1.61
"October, 1980",57.6,43.6,71.6,1.18
"September, 1980",63.8,49.1,78.6,0.23
"August, 1980",67.5,52.2,82.8,0.07
"July, 1980",69.4,54.9,83.9,0.37
"June, 1980",58.8,45.7,71.8,0.46
"May, 1980",53.5,41.4,65.5,2.16
"April, 1980",49.6,38,61.2,3.12
"March, 1980",41.8,31.2,52.4,5.2
"February, 1980",44.4,36,52.8,13.98
"January, 1980",41.3,33.8,48.7,16.45
